['Floor', 'Rooms', 'Garage', 'Garden', 'Age']	Test Error: [0.29756636]
['Floor', 'Rooms', 'Garage', 'Garden', 'Theater']	Test Error: [0.29007622]
['Floor', 'Rooms', 'Garage', 'Age', 'Theater']	Test Error: [0.29740734]
['Floor', 'Rooms', 'Garden', 'Age', 'Theater']	Test Error: [0.30487938]
['Floor', 'Pool', 'Garage', 'Garden', 'Age']	Test Error: [0.28546029]
['Floor', 'Pool', 'Garage', 'Garden', 'Theater']	Test Error: [0.28254078]
['Floor', 'Pool', 'Garage', 'Age', 'Theater']	Test Error: [0.28520479]
['Floor', 'Pool', 'Garden', 'Age', 'Theater']	Test Error: [0.28942278]
['Floor', 'Garage', 'Garden', 'Age', 'Theater']	Test Error: [0.28539384]
['Rooms', 'Pool', 'Garage', 'Garden', 'Age']	Test Error: [0.28692901]
['Rooms', 'Pool', 'Garage', 'Garden', 'Theater']	Test Error: [0.28428164]
['Rooms', 'Pool', 'Garage', 'Age', 'Theater']	Test Error: [0.28665116]
['Rooms', 'Pool', 'Garden', 'Age', 'Theater']	Test Error: [0.29104154]
['Rooms', 'Garage', 'Garden', 'Age', 'Theater']	Test Error: [0.28687426]
['Pool', 'Garage', 'Garden', 'Age', 'Theater']	Test Error: [0.28007777]
['Level', 'Area', 'Floor', 'Rooms', 'Pool', 'Garage']	Test Error: [0.13757854]
['Level', 'Area', 'Floor', 'Rooms', 'Pool', 'Garden']	Test Error: [0.13767821]
['Level', 'Area', 'Floor', 'Rooms', 'Pool', 'Age']	Test Error: [0.11182015]
['Level', 'Area', 'Floor', 'Rooms', 'Pool', 'Theater']	Test Error: [0.1376811]
['Level', 'Area', 'Floor', 'Rooms', 'Garage', 'Garden']	Test Error: [0.13762111]
['Level', 'Area', 'Floor', 'Rooms', 'Garage', 'Age']	Test Error: [0.11177868]
['Level', 'Area', 'Floor', 'Rooms', 'Garage', 'Theater']	Test Error: [0.13761264]
['Level', 'Area', 'Floor', 'Rooms', 'Garden', 'Age']	Test Error: [0.11184987]
['Level', 'Area', 'Floor', 'Rooms', 'Garden', 'Theater']	Test Error: [0.13770395]
['Level', 'Area', 'Floor', 'Rooms', 'Age', 'Theater']	Test Error: [0.11183648]
['Level', 'Area', 'Floor', 'Pool', 'Garage', 'Garden']	Test Error: [0.13815114]
['Level', 'Area', 'Floor', 'Pool', 'Garage', 'Age']	Test Error: [0.11253573]
